Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
147,Kyle Lowry,1718,2022-23,36,MIA,55,44,0,31.2,3.6,8.8,1.6,3.2,1.9,5.6,2.1,2.5,0.8,3.3,4.1,5.1,1,0.4,1.9,2.6,11.2,0.404,0.509,0.345,0.859,0.565,51.443,G,lowryky01
148,Corey Kispert,2093,2022-23,23,WAS,74,45,0,28.3,3.9,7.9,1.7,2.7,2.2,5.2,1,1.2,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,0.497,0.637,0.424,0.852,0.657,63.675,G-F,kispeco01
149,Jeremy Sochan,1458,2022-23,19,SAS,56,53,0,26,4.5,9.9,3.9,7.5,0.6,2.4,1.4,2.1,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11,0.453,0.519,0.246,0.698,0.509,48.279,F-G,sochaje01
150,Mason Plumlee,2054,2022-23,32,CHOLAC,79,60,0,26,4.2,6.1,4.2,6.1,0,0,2.5,4,2.9,6,8.9,3.1,0.6,0.6,1.5,2.7,10.8,0.68,0.68,,0.636,0.689,67.975,C-F,plumlma01
151,Jaylen Nowell,1252,2022-23,23,MIN,65,2,0,19.3,4.3,9.6,3.3,6,1,3.6,1.2,1.5,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8,0.448,0.542,0.289,0.778,0.527,50.16,G,nowelja01
152,Kentavious Caldwell-Pope,2381,2022-23,29,DEN,76,76,0,31.3,3.8,8.3,2.1,4.1,1.8,4.2,1.4,1.6,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,0.462,0.502,0.423,0.824,0.598,56.883,G,caldwke01
153,Ivica Zubac,2170,2022-23,25,LAC,76,76,0,28.6,4.3,6.8,4.3,6.7,0,0,2.2,3.1,3.1,6.8,9.9,1,0.4,1.3,1.5,2.9,10.8,0.634,0.637,0,0.697,0.661,63.424,C,zubaciv01
154,Talen Horton-Tucker,1313,2022-23,22,UTA,65,20,0,20.2,4,9.4,3.1,6.3,0.9,3.1,1.9,2.6,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,0.419,0.485,0.286,0.75,0.508,46.656,G-F,hortota01
155,Victor Oladipo,1106,2022-23,30,MIA,42,2,0,26.3,3.8,9.6,2.1,4.5,1.7,5,1.4,1.9,0.4,2.7,3,3.5,1.4,0.3,2.1,2.4,10.7,0.397,0.471,0.33,0.747,0.513,48.387,G,oladivi01
156,Cam Thomas,948,2022-23,21,BRK,57,4,0,16.6,3.5,8,2.6,5.7,0.9,2.3,2.6,3.1,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1,10.6,0.441,0.464,0.383,0.868,0.567,49.671,G,thomaca02
157,Moritz Wagner,1109,2022-23,25,ORL,57,18,0,19.5,3.5,6.9,2.6,4.1,0.9,2.9,2.7,3.2,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5,0.5,0.631,0.313,0.841,0.63,56.439,F-C,wagnemo01
158,Grayson Allen,1972,2022-23,27,MIL,72,70,0,27.4,3.4,7.7,1.4,2.7,2,5.1,1.6,1.8,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4,0.44,0.518,0.399,0.905,0.612,57.092,G,allengr01
159,Killian Hayes,2154,2022-23,21,DET,76,56,0,28.3,4,10.7,3,7,1.1,3.8,1.2,1.5,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,0.377,0.429,0.28,0.821,0.455,42.577,G,hayeski01
160,Tyus Jones,1940,2022-23,26,MEM,80,22,0,24.3,3.9,8.9,2.4,4.8,1.5,4.1,1,1.3,0.4,2.2,2.5,5.2,1,0.1,0.9,0.4,10.3,0.438,0.495,0.371,0.8,0.546,52.324,G,jonesty01
161,Cameron Payne,968,2022-23,28,PHO,48,15,0,20.2,3.9,9.4,2.5,5.6,1.4,3.9,1,1.3,0.3,2,2.2,4.5,0.7,0.2,1.7,1.8,10.3,0.415,0.448,0.368,0.766,0.512,49.007,G,payneca01
162,Monte Morris,1695,2022-23,27,WAS,62,61,0,27.3,4,8.3,2.7,5,1.3,3.3,1,1.2,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3,0.48,0.543,0.382,0.831,0.579,55.534,G,morrimo01
163,Doug McDermott,1314,2022-23,31,SAS,64,0,0,20.5,3.7,8.2,1.8,3.5,1.9,4.7,0.8,1.1,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2,0.457,0.516,0.413,0.757,0.59,57.457,F,mcderdo01
164,Malaki Branham,1550,2022-23,19,SAS,66,32,0,23.5,4.1,9.3,2.9,5.4,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,0.44,0.539,0.302,0.829,0.524,50.327,G,branhma01
165,Reggie Jackson,1657,2022-23,32,DENLAC,68,40,0,24.4,3.9,9.4,2.5,5.2,1.4,4.2,1,1.1,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7,10.2,0.411,0.474,0.333,0.91,0.514,48.594,G,jacksre01
166,Patrick Williams,2323,2022-23,21,CHI,82,65,0,28.3,3.8,8.3,2.4,4.9,1.4,3.4,1.1,1.3,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2,0.464,0.498,0.415,0.857,0.576,54.874,F,willipa01
167,De'Anthony Melton,2150,2022-23,24,PHI,77,58,0,27.9,3.6,8.5,1.6,3.2,2,5.2,0.9,1.1,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,0.425,0.484,0.39,0.793,0.566,54.608,G,meltode01
168,Aaron Nesmith,1816,2022-23,23,IND,73,60,0,24.9,3.5,8.1,1.9,3.8,1.6,4.3,1.6,1.9,0.8,2.9,3.8,1.3,0.8,0.5,1,3.2,10.1,0.427,0.496,0.366,0.838,0.566,52.458,G-F,nesmiaa01
169,Josh Richardson,1530,2022-23,29,NOPSAS,65,10,0,23.5,3.7,8.5,2,4,1.6,4.5,1.1,1.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3,1.8,10.1,0.431,0.506,0.365,0.852,0.555,52.798,G,richajo01
170,James Wiseman,867,2022-23,21,DETGSW,45,22,0,19.3,4.2,7.5,4.1,7.1,0.1,0.4,1.5,2.2,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10,0.558,0.58,0.2,0.701,0.589,56.342,C,wisemja01
171,Brandon Clarke,1090,2022-23,26,MEM,56,8,0,19.5,4.1,6.2,4.1,6.1,0,0.1,1.8,2.4,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3,10,0.656,0.665,0.167,0.723,0.682,65.759,F,clarkbr01
172,Jonathan Kuminga,1394,2022-23,20,GSW,67,16,0,20.8,3.9,7.4,3.1,5.2,0.8,2.2,1.3,2.1,1,2.4,3.4,1.9,0.6,0.5,1.4,2.3,9.9,0.525,0.59,0.37,0.652,0.597,57.948,F,kuminjo01
173,Onyeka Okongwu,1849,2022-23,22,ATL,80,18,0,23.1,4,6.2,3.9,6.1,0.1,0.2,1.9,2.5,2.7,4.5,7.2,1,0.7,1.3,1,3.1,9.9,0.638,0.647,0.308,0.781,0.678,64.185,F,okongon01
174,Jalen Suggs,1246,2022-23,21,ORL,53,19,0,23.5,3.5,8.4,2.3,4.6,1.2,3.8,1.6,2.2,1,2,3,2.9,1.3,0.5,1.8,2.3,9.9,0.419,0.496,0.327,0.723,0.528,49.324,G,suggsja01
175,Shaedon Sharpe,1779,2022-23,19,POR,80,15,0,22.2,3.8,8.1,2.6,4.6,1.3,3.5,0.9,1.3,0.8,2.2,3,1.2,0.5,0.3,1,1.7,9.9,0.472,0.559,0.36,0.714,0.568,55.093,G,sharpsh01
